name ra_str dec_str G_mean_magnitude
EllieL106 "19 04 56.9" "43 17 50.1" 15.159017
EllieL107 "19 05 01.5" "43 21 16.4" 15.713218
EllieL108 "19 11 00.8" "43 35 01.3" 17.000233
EllieL109 "19 56 40.0" "43 52 27.4" 15.126381
EllieL110 "19 48 17.5" "44 00 18.9" 17.106123
EllieL111 "19 34 37.2" "45 11 09.5" 16.201391
EllieL112 "19 41 55.8" "45 22 37.7" 16.352877
EllieL113 "19 21 04.0" "45 34 41.4" 14.035297
EllieL114 "19 36 17.0" "45 54 49.3" 16.07158
EllieL115 "19 49 51.7" "46 09 10.1" 16.426758
EllieL116 "18 49 10.0" "46 12 29.4" 14.969688
